gvkey,datadate,fyear,tic,conm,curcd,at,bkvlps,ebitda,epspi,lt,revt,txpd,wcapch,prcc_c,state
112168,20021231,2002,RSG,REPUBLIC SERVICES INC,USD,4209.1,11.4941,653.5,1.44,2328,2365.1,69.3,,20.98,AZ
112168,20031231,2003,RSG,REPUBLIC SERVICES INC,USD,4554.1,12.0669,651.8,1.1,2649.6,2517.8,17.7,,25.63,AZ
112168,20041231,2004,RSG,REPUBLIC SERVICES INC,USD,4464.6,12.4351,711.7,1.56,2592.1,2708.1,12.9,,33.54,AZ
112168,20051231,2005,RSG,REPUBLIC SERVICES INC,USD,4550.5,11.5856,756,1.78,2944.7,2863.9,9.3,,37.55,AZ
112168,20061231,2006,RSG,REPUBLIC SERVICES INC,USD,4429.4,10.9395,815.5,2.09,3007.3,3070.6,198.8,,40.67,AZ
112168,20071231,2007,RSG,REPUBLIC SERVICES INC,USD,4467.8,7.0315,909.2,1.53,3164,3176.2,151.9,,31.35,AZ
112168,20081231,2008,RSG,REPUBLIC SERVICES INC,USD,19921.4,19.2375,1017,0.38,12638.9,3685.1,128.3,,24.79,AZ
112168,20091231,2009,RSG,REPUBLIC SERVICES INC,USD,19540.3,19.8648,2516.3,1.3,11973.2,8199.1,444,,28.31,AZ
112168,20101231,2010,RSG,REPUBLIC SERVICES INC,USD,19461.9,20.4496,2516.8,1.32,11613,8106.6,418,,29.86,AZ
112168,20111231,2011,RSG,REPUBLIC SERVICES INC,USD,19551.5,20.7659,2502.4,1.57,11868.1,8192.9,173,,27.55,AZ
112168,20121231,2012,RSG,REPUBLIC SERVICES INC,USD,19616.9,21.3329,2291.7,1.56,11911.2,8118.3,185,,29.33,AZ
112168,20131231,2013,RSG,REPUBLIC SERVICES INC,USD,19949.2,21.9298,2328.7,1.63,12043.1,8417.2,288,,33.2,AZ
112168,20141231,2014,RSG,REPUBLIC SERVICES INC,USD,20094,21.96,2241.3,1.54,12346.2,8788.3,382,,40.25,AZ
112168,20151231,2015,RSG,REPUBLIC SERVICES INC,USD,20577.2,22.4945,2563.3,2.14,12800.6,9115,321,,43.99,AZ
112168,20161231,2016,RSG,REPUBLIC SERVICES INC,USD,20629.6,22.6615,2653.9,1.79,12935.9,9387.7,265,,57.05,AZ
112168,20171231,2017,RSG,REPUBLIC SERVICES INC,USD,21147,23.994,2769.5,3.79,13185.9,10041.5,370,,67.61,AZ
112168,20181231,2018,RSG,REPUBLIC SERVICES INC,USD,21617,24.5802,2803.8,3.17,13687.5,10040.9,210,,72.09,AZ
